Apocalypse,AP,Apocalypse,APC
Buy-A-Box Promos,PRM-BAB,Buy-a-Box Promos,BAB
Commander Anthology 2018,CM2,Commander Anthology Volume II,CM2
Duel Decks: Elspeth vs. Kiora,DDO,Duel Decks: Elspeth vs. Kiora,EVK
"Duel Decks Anthology, Elves vs. Goblins",DD3_EVG,Duel Decks: Anthology,DD3
"Duel Decks Anthology, Garruk vs. Liliana",DD3_GVL,Duel Decks: Anthology,DD3
"Duel Decks Anthology, Jace vs. Chandra",DD3_JVC,Duel Decks: Anthology,DD3
Exodus,EX,Exodus,EXO
Explorers of Ixalan,E02,Explorers of Ixalan,EO2
FNM Promos,PRM-FNM,FNM Promos,pFNM
Guilds of Ravnica Guild Kits,GK1,Guilds of Ravnica: Guild Kits,GK1
Invasion,IN,Invasion,INV
Magic: The Gathering—Conspiracy,CNS,Conspiracy,CNS
Media Promos,PRM-MED,Media Promos,pMEI
Mercadian Masques,MM,Mercadian Masques,MMQ
Mirage,MI,Mirage,MIR
Modern Masters 2017 Edition,MM3,Modern Masters 2017,MM3
Nemesis,NE,Nemesis,NMS
Odyssey,OD,Odyssey,ODY
Open House Promos,PRM-OHP,Open House Promos,pOHP
Planeshift,PS,Planeshift,PLS
Portal Second Age,PO2,Portal Second Age,P02
Prerelease Cards,PRM-PRE,Prerelease Cards,pPRE
Prophecy,PR,Prophecy,PCY
Ravnica Allegiance Guild Kits,GK2,Ravnica Allegiance: Guild Kits,GK2
Stronghold,ST,Stronghold,STH
Tempest,TE,Tempest,TMP
Ultimate Box Topper,PRM-UMA,Ultimate Masters: Box Toppers,pUMA
Unstable,UST,Unstable,UN3
Urza's Destiny,UD,Urza's Destiny,UDS
Urza's Legacy,UL,Urza's Legacy,ULG
Urza's Saga,UZ,Urza's Saga,USG
Visions,VI,Visions,VIS
Weatherlight,WL,Weatherlight,WTH
